confidence_threshold,margin_threshold,accepted_predictions,coverage_pct,accepted_accuracy_pct
0.5,0.0,1126,86.95,98.4
0.5,0.05,1126,86.95,98.4
0.5,0.1,1124,86.8,98.58
0.5,0.15,1123,86.72,98.58
0.5,0.2,1122,86.64,98.57
0.5,0.25,1113,85.95,99.28
0.55,0.0,1070,82.63,98.5
0.55,0.05,1070,82.63,98.5
0.55,0.1,1070,82.63,98.5
0.55,0.15,1069,82.55,98.5
0.55,0.2,1069,82.55,98.5
0.55,0.25,1060,81.85,99.25
0.6,0.0,1003,77.45,98.6
0.6,0.05,1003,77.45,98.6
0.6,0.1,1003,77.45,98.6
0.6,0.15,1003,77.45,98.6
0.6,0.2,1003,77.45,98.6
0.6,0.25,995,76.83,99.4
0.65,0.0,932,71.97,99.46
0.65,0.05,932,71.97,99.46
0.65,0.1,932,71.97,99.46
0.65,0.15,932,71.97,99.46
0.65,0.2,932,71.97,99.46
0.65,0.25,932,71.97,99.46
0.7,0.0,841,64.94,99.64
0.7,0.05,841,64.94,99.64
0.7,0.1,841,64.94,99.64
0.7,0.15,841,64.94,99.64
0.7,0.2,841,64.94,99.64
0.7,0.25,841,64.94,99.64
0.75,0.0,765,59.07,99.61
0.75,0.05,765,59.07,99.61
0.75,0.1,765,59.07,99.61
0.75,0.15,765,59.07,99.61
0.75,0.2,765,59.07,99.61
0.75,0.25,765,59.07,99.61
0.8,0.0,673,51.97,99.7
0.8,0.05,673,51.97,99.7
0.8,0.1,673,51.97,99.7
0.8,0.15,673,51.97,99.7
0.8,0.2,673,51.97,99.7
0.8,0.25,673,51.97,99.7
0.85,0.0,580,44.79,99.83
0.85,0.05,580,44.79,99.83
0.85,0.1,580,44.79,99.83
0.85,0.15,580,44.79,99.83
0.85,0.2,580,44.79,99.83
0.85,0.25,580,44.79,99.83
0.9,0.0,463,35.75,100.0
0.9,0.05,463,35.75,100.0
0.9,0.1,463,35.75,100.0
0.9,0.15,463,35.75,100.0
0.9,0.2,463,35.75,100.0
0.9,0.25,463,35.75,100.0
0.95,0.0,306,23.63,100.0
0.95,0.05,306,23.63,100.0
0.95,0.1,306,23.63,100.0
0.95,0.15,306,23.63,100.0
0.95,0.2,306,23.63,100.0
0.95,0.25,306,23.63,100.0
