description,vch_type,canonical_family,canonical_id,approval_decision,human_notes,mapping_source
cash,Transfer,Transfers,2007,APPROVED,,HUMAN_APPROVED
transfer,Transfer,Transfers,2007,APPROVED,,HUMAN_APPROVED
cash withdrawal,Transfer,Transfers,2007,APPROVED,,HUMAN_APPROVED
transfer for account deletion,Transfer,Transfers,2007,APPROVED,,HUMAN_APPROVED
atm,Transfer,Transfers,2007,APPROVED,,HUMAN_APPROVED
atm withdrawal,Transfer,Transfers,2007,APPROVED,,HUMAN_APPROVED
withdrawal,Transfer,Transfers,2007,APPROVED,,HUMAN_APPROVED
withdrawl,Transfer,Transfers,2007,APPROVED,,HUMAN_APPROVED
cash withdrawl,Transfer,Transfers,2007,APPROVED,,HUMAN_APPROVED
raj grocery,Expense,Groceries,2009,APPROVED,,HUMAN_APPROVED
food,Transfer,Dining,2001,APPROVED,,HUMAN_APPROVED
gj cash from haris,Transfer,Transfers,2007,APPROVED,,HUMAN_APPROVED
dinner at office,Expense,Dining,2001,APPROVED,,HUMAN_APPROVED
prem vegetables,Expense,Groceries,2009,APPROVED,,HUMAN_APPROVED
cash withdraw,Transfer,Transfers,2007,APPROVED,,HUMAN_APPROVED
interest earned,Income,Income,2008,APPROVED,,HUMAN_APPROVED
atm draw,Transfer,Transfers,2007,APPROVED,,HUMAN_APPROVED
atm withdrawl,Transfer,Transfers,2007,APPROVED,,HUMAN_APPROVED
cash atm,Transfer,Transfers,2007,APPROVED,,HUMAN_APPROVED
atm withdraw,Transfer,Transfers,2007,APPROVED,,HUMAN_APPROVED
lunch,Transfer,Dining,2001,APPROVED,,HUMAN_APPROVED
petrol for scooty,Expense,Fuel,2002,APPROVED,,HUMAN_APPROVED
petrol,Transfer,Fuel,2002,APPROVED,,HUMAN_APPROVED
milk,Transfer,Groceries,2009,APPROVED,,HUMAN_APPROVED
petty cash,Transfer,Transfers,2007,APPROVED,,HUMAN_APPROVED
office bike parking,Expense,Transport,2003,APPROVED,,HUMAN_APPROVED
bread,Transfer,Groceries,2009,APPROVED,,HUMAN_APPROVED
buy milk,Expense,Groceries,2009,APPROVED,,HUMAN_APPROVED
uber home ho,Expense,Transport,2003,APPROVED,,HUMAN_APPROVED
diesel,Transfer,Fuel,2002,APPROVED,,HUMAN_APPROVED
atm cash withdrawal,Transfer,Transfers,2007,APPROVED,,HUMAN_APPROVED
internal transfer,Transfer,Transfers,2007,APPROVED,,HUMAN_APPROVED
bike fuel monthly,Expense,Fuel,2002,APPROVED,,HUMAN_APPROVED
cash transfer,Transfer,Transfers,2007,APPROVED,,HUMAN_APPROVED
electricity bill,Transfer,Utilities,2004,APPROVED,,HUMAN_APPROVED
dinner,Transfer,Dining,2001,APPROVED,,HUMAN_APPROVED
transfer to cash,Transfer,Transfers,2007,APPROVED,,HUMAN_APPROVED
careem home office,Expense,Transport,2003,APPROVED,,HUMAN_APPROVED
water bill,Transfer,Utilities,2004,APPROVED,,HUMAN_APPROVED
lunch at ofc,Expense,Dining,2001,APPROVED,,HUMAN_APPROVED
lauka,Expense,Groceries,2009,APPROVED,,HUMAN_APPROVED
milk and chas,Expense,Groceries,2009,APPROVED,,HUMAN_APPROVED
dinner for both,Expense,Dining,2001,APPROVED,,HUMAN_APPROVED
roti,Transfer,Dining,2001,APPROVED,,HUMAN_APPROVED
cat milk,Expense,Groceries,2009,APPROVED,,HUMAN_APPROVED
fruit refund,Transfer,Groceries,2009,APPROVED,,HUMAN_APPROVED
amm atm,Transfer,Transfers,2007,APPROVED,,HUMAN_APPROVED
balance transfer,Transfer,Transfers,2007,APPROVED,,HUMAN_APPROVED
bank transfer,Transfer,Transfers,2007,APPROVED,,HUMAN_APPROVED
cash deposit,Transfer,Transfers,2007,APPROVED,,HUMAN_APPROVED
cash needed,Transfer,Transfers,2007,APPROVED,,HUMAN_APPROVED
transfer new account hysab kytab,Transfer,Transfers,2007,APPROVED,,HUMAN_APPROVED
wallet cash,Transfer,Transfers,2007,APPROVED,,HUMAN_APPROVED
online deposit,Income,Income,2008,APPROVED,,HUMAN_APPROVED
local eggs,Expense,Groceries,2009,APPROVED,,HUMAN_APPROVED
