description,vch_type,proposed_family,proposed_canonical_id,transaction_support,dominant_source_category_id,distinct_source_category_ids,source_category_purity,review_status,approved,evidence_note,risk_level,possible_synonym,synonym_review_note
cash,Transfer,Transfers,2007,289,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
transfer,Transfer,Transfers,2007,246,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
cash withdrawal,Transfer,Transfers,2007,186,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
transfer for account deletion,Transfer,Transfers,2007,147,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
atm,Transfer,Transfers,2007,141,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
atm withdrawal,Transfer,Transfers,2007,119,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
withdrawal,Transfer,Transfers,2007,92,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
withdrawl,Transfer,Transfers,2007,72,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
cash withdrawl,Transfer,Transfers,2007,41,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
raj grocery,Expense,Groceries,2009,30,603,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
food,Transfer,Dining,2001,28,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
gj cash from haris,Transfer,Transfers,2007,28,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
dinner at office,Expense,Dining,2001,27,600,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
prem vegetables,Expense,Groceries,2009,27,603,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
