category_id_clean,canonical_family_clean,transaction_count,mapped_total,percentage
0.0,Transfers & Withdrawals,2276,3217,70.749145166304
0.0,Food & Groceries,270,3217,8.392912651538701
0.0,Healthcare,143,3217,4.445135219148274
0.0,Utilities & Bills,143,3217,4.445135219148274
0.0,Shopping & Retail,116,3217,3.6058439539944045
0.0,Income,87,3217,2.7043829654958036
0.0,Other,64,3217,1.9894311470313957
0.0,Fuel,62,3217,1.9272614236866645
0.0,Transport,56,3217,1.740752253652471
1.0,Income,261,270,96.66666666666667
1.0,Healthcare,3,270,1.1111111111111112
1.0,Food & Groceries,2,270,0.7407407407407408
1.0,Transfers & Withdrawals,2,270,0.7407407407407408
1.0,Fuel,1,270,0.3703703703703704
1.0,Shopping & Retail,1,270,0.3703703703703704
2.0,Transfers & Withdrawals,2,3,66.66666666666666
2.0,Income,1,3,33.33333333333333
3.0,Fuel,2,4,50.0
3.0,Income,1,4,25.0
3.0,Transfers & Withdrawals,1,4,25.0
4.0,Income,22,85,25.882352941176475
4.0,Transfers & Withdrawals,16,85,18.823529411764707
4.0,Healthcare,12,85,14.117647058823529
4.0,Shopping & Retail,11,85,12.941176470588237
4.0,Food & Groceries,9,85,10.588235294117647
4.0,Fuel,7,85,8.235294117647058
4.0,Utilities & Bills,6,85,7.0588235294117645
4.0,Transport,2,85,2.3529411764705883
5.0,Food & Groceries,237,615,38.53658536585366
5.0,Fuel,160,615,26.01626016260163
5.0,Healthcare,107,615,17.398373983739837
5.0,Shopping & Retail,70,615,11.38211382113821
5.0,Utilities & Bills,33,615,5.365853658536586
5.0,Transport,4,615,0.6504065040650406
5.0,Other,2,615,0.3252032520325203
5.0,Transfers & Withdrawals,2,615,0.3252032520325203
6.0,Food & Groceries,483,532,90.78947368421053
6.0,Shopping & Retail,16,532,3.007518796992481
6.0,Healthcare,15,532,2.819548872180451
6.0,Transport,7,532,1.3157894736842104
6.0,Other,6,532,1.1278195488721803
6.0,Fuel,3,532,0.5639097744360901
6.0,Transfers & Withdrawals,1,532,0.18796992481203006
6.0,Utilities & Bills,1,532,0.18796992481203006
7.0,Food & Groceries,64,223,28.699551569506728
7.0,Shopping & Retail,54,223,24.2152466367713
7.0,Healthcare,36,223,16.143497757847534
7.0,Transport,24,223,10.762331838565023
7.0,Fuel,20,223,8.968609865470851
7.0,Transfers & Withdrawals,16,223,7.174887892376682
7.0,Utilities & Bills,5,223,2.242152466367713
7.0,Income,4,223,1.7937219730941705
8.0,Utilities & Bills,326,403,80.89330024813896
8.0,Fuel,16,403,3.970223325062035
8.0,Income,14,403,3.4739454094292808
8.0,Transfers & Withdrawals,13,403,3.225806451612903
8.0,Food & Groceries,11,403,2.729528535980149
8.0,Healthcare,11,403,2.729528535980149
8.0,Shopping & Retail,7,403,1.7369727047146404
8.0,Transport,5,403,1.240694789081886
9.0,Healthcare,305,320,95.3125
9.0,Utilities & Bills,10,320,3.125
9.0,Food & Groceries,2,320,0.625
9.0,Fuel,1,320,0.3125
9.0,Shopping & Retail,1,320,0.3125
9.0,Transport,1,320,0.3125
10.0,Healthcare,47,57,82.45614035087719
10.0,Fuel,4,57,7.017543859649122
10.0,Shopping & Retail,3,57,5.263157894736842
10.0,Food & Groceries,2,57,3.508771929824561
10.0,Transfers & Withdrawals,1,57,1.7543859649122806
11.0,Transfers & Withdrawals,6,8,75.0
11.0,Income,1,8,12.5
11.0,Shopping & Retail,1,8,12.5
12.0,Transport,38,219,17.35159817351598
12.0,Fuel,37,219,16.894977168949772
12.0,Utilities & Bills,35,219,15.981735159817351
12.0,Food & Groceries,33,219,15.068493150684931
12.0,Healthcare,25,219,11.415525114155251
12.0,Income,19,219,8.67579908675799
12.0,Shopping & Retail,19,219,8.67579908675799
12.0,Other,7,219,3.1963470319634704
12.0,Transfers & Withdrawals,6,219,2.73972602739726
13.0,Food & Groceries,22,44,50.0
13.0,Shopping & Retail,6,44,13.636363636363635
13.0,Transport,5,44,11.363636363636363
13.0,Fuel,4,44,9.090909090909092
13.0,Transfers & Withdrawals,4,44,9.090909090909092
13.0,Healthcare,2,44,4.545454545454546
13.0,Income,1,44,2.272727272727273
14.0,Fuel,614,946,64.90486257928119
14.0,Transport,280,946,29.59830866807611
14.0,Healthcare,20,946,2.1141649048625792
14.0,Food & Groceries,13,946,1.3742071881606766
14.0,Shopping & Retail,12,946,1.2684989429175475
14.0,Utilities & Bills,4,946,0.42283298097251587
14.0,Income,3,946,0.3171247357293869
15.0,Transfers & Withdrawals,9,23,39.130434782608695
15.0,Healthcare,7,23,30.434782608695656
15.0,Food & Groceries,4,23,17.391304347826086
15.0,Fuel,1,23,4.3478260869565215
15.0,Shopping & Retail,1,23,4.3478260869565215
15.0,Utilities & Bills,1,23,4.3478260869565215
16.0,Shopping & Retail,10,31,32.25806451612903
16.0,Food & Groceries,5,31,16.129032258064516
16.0,Healthcare,4,31,12.903225806451612
16.0,Utilities & Bills,4,31,12.903225806451612
16.0,Transport,3,31,9.67741935483871
16.0,Fuel,2,31,6.451612903225806
16.0,Income,2,31,6.451612903225806
16.0,Transfers & Withdrawals,1,31,3.225806451612903
17.0,Food & Groceries,27,95,28.421052631578945
17.0,Healthcare,24,95,25.263157894736842
17.0,Shopping & Retail,19,95,20.0
17.0,Transport,8,95,8.421052631578947
17.0,Utilities & Bills,6,95,6.315789473684211
17.0,Fuel,5,95,5.263157894736842
17.0,Transfers & Withdrawals,5,95,5.263157894736842
17.0,Income,1,95,1.0526315789473684
18.0,Shopping & Retail,58,95,61.05263157894737
18.0,Utilities & Bills,15,95,15.789473684210526
18.0,Fuel,9,95,9.473684210526317
18.0,Transport,7,95,7.368421052631578
18.0,Food & Groceries,2,95,2.1052631578947367
18.0,Income,2,95,2.1052631578947367
18.0,Healthcare,1,95,1.0526315789473684
18.0,Transfers & Withdrawals,1,95,1.0526315789473684
19.0,Transfers & Withdrawals,65,202,32.17821782178218
19.0,Healthcare,29,202,14.356435643564355
19.0,Food & Groceries,24,202,11.881188118811881
19.0,Transport,24,202,11.881188118811881
19.0,Fuel,22,202,10.891089108910892
19.0,Shopping & Retail,18,202,8.91089108910891
19.0,Income,8,202,3.9603960396039604
19.0,Other,7,202,3.4653465346534658
19.0,Utilities & Bills,5,202,2.4752475247524752
20.0,Fuel,31,132,23.484848484848484
20.0,Healthcare,26,132,19.696969696969695
20.0,Food & Groceries,20,132,15.151515151515152
20.0,Income,19,132,14.393939393939394
20.0,Transport,14,132,10.606060606060606
20.0,Shopping & Retail,11,132,8.333333333333332
20.0,Utilities & Bills,6,132,4.545454545454546
