category_id_clean,dominant_canonical_family,dominant_count,mapped_total,dominant_percentage,mapping_strength
0.0,Transfers & Withdrawals,2276,3217,70.749145166304,WEAK
1.0,Income,261,270,96.66666666666667,STRONG
2.0,Transfers & Withdrawals,2,3,66.66666666666666,WEAK
3.0,Fuel,2,4,50.0,AMBIGUOUS
4.0,Income,22,85,25.882352941176475,AMBIGUOUS
5.0,Food & Groceries,237,615,38.53658536585366,AMBIGUOUS
6.0,Food & Groceries,483,532,90.78947368421053,MODERATE
7.0,Food & Groceries,64,223,28.699551569506728,AMBIGUOUS
8.0,Utilities & Bills,326,403,80.89330024813896,MODERATE
9.0,Healthcare,305,320,95.3125,STRONG
10.0,Healthcare,47,57,82.45614035087719,MODERATE
11.0,Transfers & Withdrawals,6,8,75.0,WEAK
12.0,Transport,38,219,17.35159817351598,AMBIGUOUS
13.0,Food & Groceries,22,44,50.0,AMBIGUOUS
14.0,Fuel,614,946,64.90486257928119,WEAK
15.0,Transfers & Withdrawals,9,23,39.130434782608695,AMBIGUOUS
16.0,Shopping & Retail,10,31,32.25806451612903,AMBIGUOUS
17.0,Food & Groceries,27,95,28.421052631578945,AMBIGUOUS
18.0,Shopping & Retail,58,95,61.05263157894737,WEAK
19.0,Transfers & Withdrawals,65,202,32.17821782178218,AMBIGUOUS
20.0,Fuel,31,132,23.484848484848484,AMBIGUOUS
21.0,Transport,45,155,29.03225806451613,AMBIGUOUS
22.0,Healthcare,20,91,21.978021978021978,AMBIGUOUS
23.0,Healthcare,9,46,19.565217391304348,AMBIGUOUS
24.0,Healthcare,18,72,25.0,AMBIGUOUS
25.0,Food & Groceries,19,71,26.76056338028169,AMBIGUOUS
26.0,Food & Groceries,17,47,36.17021276595745,AMBIGUOUS
27.0,Food & Groceries,14,61,22.950819672131146,AMBIGUOUS
28.0,Healthcare,19,60,31.666666666666664,AMBIGUOUS
29.0,Transport,57,101,56.43564356435643,AMBIGUOUS
30.0,Fuel,8,33,24.242424242424242,AMBIGUOUS
31.0,Fuel,11,37,29.72972972972973,AMBIGUOUS
32.0,Income,11,38,28.947368421052634,AMBIGUOUS
33.0,Fuel,27,47,57.446808510638306,AMBIGUOUS
34.0,Fuel,31,45,68.88888888888889,WEAK
35.0,Food & Groceries,7,22,31.818181818181817,AMBIGUOUS
36.0,Fuel,5,16,31.25,AMBIGUOUS
37.0,Food & Groceries,7,19,36.84210526315789,AMBIGUOUS
38.0,Healthcare,5,17,29.411764705882355,AMBIGUOUS
39.0,Shopping & Retail,9,24,37.5,AMBIGUOUS
40.0,Transfers & Withdrawals,4,15,26.666666666666668,AMBIGUOUS
41.0,Other,15,27,55.55555555555556,AMBIGUOUS
42.0,Food & Groceries,4,12,33.33333333333333,AMBIGUOUS
43.0,Transport,4,8,50.0,AMBIGUOUS
44.0,Fuel,11,23,47.82608695652174,AMBIGUOUS
45.0,Food & Groceries,4,9,44.44444444444444,AMBIGUOUS
46.0,Utilities & Bills,5,10,50.0,AMBIGUOUS
47.0,Food & Groceries,3,7,42.857142857142854,AMBIGUOUS
48.0,Utilities & Bills,4,16,25.0,AMBIGUOUS
49.0,Healthcare,2,10,20.0,AMBIGUOUS
50.0,Utilities & Bills,6,19,31.57894736842105,AMBIGUOUS
51.0,Transport,6,18,33.33333333333333,AMBIGUOUS
52.0,Transport,8,18,44.44444444444444,AMBIGUOUS
53.0,Food & Groceries,1,4,25.0,AMBIGUOUS
54.0,Fuel,11,20,55.00000000000001,AMBIGUOUS
55.0,Healthcare,3,6,50.0,AMBIGUOUS
56.0,Fuel,3,4,75.0,WEAK
57.0,Healthcare,3,7,42.857142857142854,AMBIGUOUS
58.0,Healthcare,2,10,20.0,AMBIGUOUS
59.0,Shopping & Retail,1,1,100.0,STRONG
60.0,Fuel,5,10,50.0,AMBIGUOUS
61.0,Transport,17,31,54.83870967741935,AMBIGUOUS
