vch_desc,vch_type,canonical_id,canonical_family,label_source,label_confidence,validation_status
  orange + pomegranate juice + chicken shawrma meal ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
 2 sugarcane juices,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
" Chai (30)
Samosa (30)",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
 lunch with babar,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
.milk,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"1 Kg Milk (75), 2 Kg Sugar(135), Tapal Tea Jar(525), Tapal Green Tea Jar(130), Cardamom(50), Bravo Biscuits Pack(112), Empty Plastic Jar For Sugar(50), Plastic Bottle For Milk.",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
1 fruit cake,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"1 spring roll, 2 shezan jiuce bottles, chicken sandwich, milo milk",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"1- chicken handi 440
3- roti @20
1- coke @20",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
1.5 kg chicken,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
10 roti,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"1000rs HYD DARBAR
600rs MCDONALDS
200 BREAKFAST
remaining espense

ALL IN HYD",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"1080 dinner & 120 gool gappay
",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
10k for Annie and 30k for grocery,Transfer,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"12Roti, 2kg Milk",Transfer,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
16250 oil change from mehmoodabad chainbtyt oil from home stock,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
18 khameri rotian,Transfer,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
1July-10July Lunch,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
2 Breads,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
2 Nestlè Juices & 30 Kurkure from Gourmet,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
2 chairs for kids,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
2 dozen eggs.,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
2 french breads,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
2 kg milk ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
2 packet bread ,Transfer,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
2 packets milk from pakeeza,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
2 pkt vegetables in different dates,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
2 roti,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
2 rotis for dinner,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
